id;spkid;full_name;pdes;name;diameter;q;per;class;horizons;begin_time;end_time;;name_ru
a0000207;2000207;207Hedda;207;Hedda;57.88;2.217507615;1260.470627;MBA;DES=+2000207;1999-02-19-21-10-34;2000-01-01-00-00-00;;Hedda
a0000208;2000208;208Lacrimosa;208;Lacrimosa;40.056;2.856633971;1796.501633;MBA;DES=+2000208;1998-10-08-20-59-25;2000-01-01-00-00-00;;Lacrimosa
a0000209;2000209;209Dido;209;Dido;179.008;2.970014194;2039.567101;MBA;DES=+2000209;1998-08-09-02-35-51;2000-01-01-00-00-00;;Дидона
a0000210;2000210;210Isabella;210;Isabella;86.65;2.385520881;1640.384258;MBA;DES=+2000210;1998-11-16-21-41-41;2000-01-01-00-00-00;;Изабелла
a0000211;2000211;211Isolda;211;Isolda;141.125;2.552089206;1936.826162;MBA;DES=+2000211;1998-09-03-19-02-35;2000-01-01-00-00-00;;Изольда
a0000212;2000212;212Medea;212;Medea;136.12;2.804330295;2016.849118;MBA;DES=+2000212;1998-08-14-18-54-20;2000-01-01-00-00-00;;Медея
a0000213;2000213;213Lilaea;213;Lilaea;82.096;2.353959906;1667.986104;MBA;DES=+2000213;1998-11-10-00-05-01;2000-01-01-00-00-00;;Lilaea
a0000214;2000214;214Aschera;214;Aschera;24.957;2.529608204;1540.833644;MBA;DES=+2000214;1998-12-11-18-59-54;2000-01-01-00-00-00;;Aschera
a0000215;2000215;215Oenone;215;Oenone;35.21;2.672188539;1681.455305;MBA;DES=+2000215;1998-11-06-15-16-06;2000-01-01-00-00-00;;Oenone
a0000216;2000216;216Kleopatra;216;Kleopatra;122;2.092789678;1705.630735;MBA;DES=+2000216;1998-10-31-14-12-57;2000-01-01-00-00-00;;Клеопатра
a0000217;2000217;217Eudora;217;Eudora;65.392;1.978072792;1773.229763;MBA;DES=+2000217;1998-10-14-16-37-18;2000-01-01-00-00-00;;Eudora
a0000218;2000218;218Bianca;218;Bianca;60.62;2.353600497;1591.31012;MBA;DES=+2000218;1998-11-29-04-08-22;2000-01-01-00-00-00;;Bianca
a0000219;2000219;219Thusnelda;219;Thusnelda;37.674;1.828188895;1319.066394;MBA;DES=+2000219;1999-02-05-05-36-05;2000-01-01-00-00-00;;Thusnelda
a0000220;2000220;220Stephania;220;Stephania;31.738;1.744848963;1314.734824;MBA;DES=+2000220;1999-02-06-07-35-27;2000-01-01-00-00-00;;Стефания
a0000221;2000221;221Eos;221;Eos;95.469;2.696989155;1908.347751;MBA;DES=+2000221;1998-09-10-21-54-49;2000-01-01-00-00-00;;Эос
a0000222;2000222;222Lucia;222;Lucia;55.35;2.730744364;2035.509787;MBA;DES=+2000222;1998-08-10-02-56-29;2000-01-01-00-00-00;;Lucia
a0000223;2000223;223Rosa;223;Rosa;79.806;2.741973602;1994.693709;MBA;DES=+2000223;1998-08-20-07-50-16;2000-01-01-00-00-00;;Роза
a0000224;2000224;224Oceana;224;Oceana;58.236;2.529247047;1571.267641;MBA;DES=+2000224;1998-12-04-04-23-39;2000-01-01-00-00-00;;Oceana
a0000225;2000225;225Henrietta;225;Henrietta;95.934;2.497283403;2283.357893;OMB;DES=+2000225;1998-06-09-03-51-10;2000-01-01-00-00-00;;Генриетта
